row_id,gap_id,latitude,longitude,area_pixels,area_sqm,width_m,height_m,google_maps_link
1,1,46.18362031,23.86001995,22.0,1.0,0.9,1.1,https://maps.google.com/?q=46.183620,23.860020
1,2,46.18360135,23.86004324,23.0,1.1,1.0,1.2,https://maps.google.com/?q=46.183601,23.860043
2,1,46.18382075,23.85980619,26.0,1.3,1.1,1.2,https://maps.google.com/?q=46.183821,23.859806
2,2,46.18376198,23.85988073,26.0,1.4,1.1,1.3,https://maps.google.com/?q=46.183762,23.859881
2,3,46.18374038,23.85990813,32.0,2.1,1.4,1.5,https://maps.google.com/?q=46.183740,23.859908
2,4,46.18371966,23.85993444,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183720,23.859934
3,1,46.18374973,23.85993746,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183750,23.859937
3,2,46.18372101,23.85997336,28.0,1.6,1.2,1.3,https://maps.google.com/?q=46.183721,23.859973
5,1,46.18391027,23.85981414,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183910,23.859814
5,2,46.18389968,23.85982729,21.0,0.9,0.9,1.0,https://maps.google.com/?q=46.183900,23.859827
5,3,46.18387350,23.85985990,18.0,0.6,0.8,0.9,https://maps.google.com/?q=46.183873,23.859860
5,4,46.18377382,23.85998377,36.0,2.7,1.5,1.8,https://maps.google.com/?q=46.183774,23.859984
5,5,46.18374512,23.86001940,18.0,0.6,0.8,0.9,https://maps.google.com/?q=46.183745,23.860019
5,6,46.18369820,23.86007777,27.0,1.5,1.1,1.3,https://maps.google.com/?q=46.183698,23.860078
6,1,46.18393981,23.85981167,30.0,1.9,1.3,1.5,https://maps.google.com/?q=46.183940,23.859812
6,2,46.18386101,23.85991033,18.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183861,23.859910
8,1,46.18388357,23.85995692,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183884,23.859957
8,2,46.18374271,23.86013285,22.0,1.0,0.9,1.0,https://maps.google.com/?q=46.183743,23.860133
9,1,46.18399902,23.85984949,22.0,1.0,0.9,1.1,https://maps.google.com/?q=46.183999,23.859849
9,2,46.18386723,23.86001584,29.0,1.7,1.2,1.4,https://maps.google.com/?q=46.183867,23.860016
9,3,46.18383443,23.86005722,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183834,23.860057
14,1,46.18395660,23.86009202,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183957,23.860092
14,2,46.18389980,23.86016273,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183900,23.860163
14,3,46.18384649,23.86022905,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.183846,23.860229
15,1,46.18387238,23.86023617,19.0,0.8,0.8,1.0,https://maps.google.com/?q=46.183872,23.860236
16,1,46.18391382,23.86021891,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.183914,23.860219
17,1,46.18403576,23.86010490,26.0,1.5,1.1,1.3,https://maps.google.com/?q=46.184036,23.860105
17,2,46.18389531,23.86027947,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183895,23.860279
18,1,46.18411247,23.86004845,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.184112,23.860048
19,1,46.18406432,23.86014519,21.0,0.9,0.9,1.0,https://maps.google.com/?q=46.184064,23.860145
19,2,46.18400183,23.86022302,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.184002,23.860223
19,3,46.18383601,23.86043020,19.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183836,23.860430
20,1,46.18413859,23.86008983,33.0,2.3,1.4,1.6,https://maps.google.com/?q=46.184139,23.860090
20,2,46.18397175,23.86029728,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183972,23.860297
22,1,46.18413734,23.86016766,17.0,0.6,0.7,0.8,https://maps.google.com/?q=46.184137,23.860168
22,2,46.18396530,23.86038443,18.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183965,23.860384
