row_id,gap_id,latitude,longitude,area_pixels,area_sqm,width_m,height_m,google_maps_link
1,1,46.18367914,23.85994760,456.0,435.1,19.2,22.6,https://maps.google.com/?q=46.183679,23.859948
2,1,46.18377237,23.85986758,630.0,805.2,26.6,30.3,https://maps.google.com/?q=46.183772,23.859868
2,2,46.18360452,23.86008051,125.0,31.8,5.3,6.0,https://maps.google.com/?q=46.183605,23.860081
3,1,46.18380081,23.85987360,636.0,832.5,26.8,31.0,https://maps.google.com/?q=46.183801,23.859874
3,2,46.18365283,23.86005859,19.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183653,23.860059
3,3,46.18361709,23.86010326,138.0,39.4,5.8,6.8,https://maps.google.com/?q=46.183617,23.860103
4,1,46.18393566,23.85974425,130.0,35.1,5.5,6.4,https://maps.google.com/?q=46.183936,23.859744
4,2,46.18382726,23.85987881,357.0,264.4,15.1,17.6,https://maps.google.com/?q=46.183827,23.859879
4,3,46.18373564,23.85999254,46.0,4.4,1.9,2.3,https://maps.google.com/?q=46.183736,23.859993
4,4,46.18371113,23.86002296,37.0,2.9,1.6,1.8,https://maps.google.com/?q=46.183711,23.860023
4,5,46.18368399,23.86005667,48.0,4.8,2.0,2.4,https://maps.google.com/?q=46.183684,23.860057
4,6,46.18363762,23.86011422,114.0,27.0,4.8,5.6,https://maps.google.com/?q=46.183638,23.860114
4,7,46.18360646,23.86015286,17.0,0.6,0.7,0.9,https://maps.google.com/?q=46.183606,23.860153
5,1,46.18395215,23.85976207,125.0,32.5,5.3,6.2,https://maps.google.com/?q=46.183952,23.859762
5,2,46.18388933,23.85984017,150.0,46.3,6.3,7.3,https://maps.google.com/?q=46.183889,23.859840
5,3,46.18382453,23.85992074,136.0,38.5,5.7,6.7,https://maps.google.com/?q=46.183825,23.859921
5,4,46.18375993,23.86000104,151.0,47.4,6.4,7.4,https://maps.google.com/?q=46.183760,23.860001
5,5,46.18371562,23.86005612,42.0,3.7,1.8,2.1,https://maps.google.com/?q=46.183716,23.860056
5,6,46.18369291,23.86008435,51.0,5.4,2.2,2.5,https://maps.google.com/?q=46.183693,23.860084
5,7,46.18364927,23.86013861,139.0,40.0,5.9,6.8,https://maps.google.com/?q=46.183649,23.860139
6,1,46.18397466,23.85976810,73.0,11.1,3.1,3.6,https://maps.google.com/?q=46.183975,23.859768
6,2,46.18395318,23.85979495,17.0,0.6,0.7,0.8,https://maps.google.com/?q=46.183953,23.859795
6,3,46.18393611,23.85981633,47.0,4.5,2.0,2.3,https://maps.google.com/?q=46.183936,23.859816
6,4,46.18389739,23.85986484,102.0,21.5,4.3,5.0,https://maps.google.com/?q=46.183897,23.859865
6,5,46.18385441,23.85991855,54.0,6.0,2.3,2.6,https://maps.google.com/?q=46.183854,23.859919
6,6,46.18383338,23.85994486,34.0,2.4,1.4,1.7,https://maps.google.com/?q=46.183833,23.859945
6,7,46.18382022,23.85996130,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183820,23.859961
6,8,46.18380454,23.85998103,36.0,2.7,1.5,1.8,https://maps.google.com/?q=46.183805,23.859981
6,9,46.18379095,23.85999802,18.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183791,23.859998
6,10,46.18377889,23.86001310,19.0,0.7,0.8,0.9,https://maps.google.com/?q=46.183779,23.860013
6,11,46.18374185,23.86005941,24.0,1.2,1.0,1.2,https://maps.google.com/?q=46.183742,23.860059
6,12,46.18372561,23.86007969,44.0,4.0,1.9,2.1,https://maps.google.com/?q=46.183726,23.860080
6,13,46.18370457,23.86010600,40.0,3.3,1.7,2.0,https://maps.google.com/?q=46.183705,23.860106
6,14,46.18368910,23.86012545,17.0,0.6,0.7,0.8,https://maps.google.com/?q=46.183689,23.860125
6,15,46.18367156,23.86014738,23.0,1.1,1.0,1.2,https://maps.google.com/?q=46.183672,23.860147
6,16,46.18365733,23.86016519,32.0,2.1,1.4,1.6,https://maps.google.com/?q=46.183657,23.860165
7,1,46.18399747,23.85977851,29.0,1.7,1.2,1.4,https://maps.google.com/?q=46.183997,23.859779
7,2,46.18387009,23.85993746,535.0,590.2,22.6,26.1,https://maps.google.com/?q=46.183870,23.859937
7,3,46.18374359,23.86009531,37.0,2.9,1.6,1.8,https://maps.google.com/?q=46.183744,23.860095
7,4,46.18372562,23.86011778,31.0,2.0,1.3,1.5,https://maps.google.com/?q=46.183726,23.860118
7,5,46.18370610,23.86014217,46.0,4.4,1.9,2.3,https://maps.google.com/?q=46.183706,23.860142
7,6,46.18368061,23.86017396,68.0,9.6,2.9,3.4,https://maps.google.com/?q=46.183681,23.860174
7,7,46.18365382,23.86020740,48.0,4.8,2.0,2.4,https://maps.google.com/?q=46.183654,23.860207
8,1,46.18400492,23.85980537,45.0,4.2,1.9,2.2,https://maps.google.com/?q=46.184005,23.859805
8,2,46.18396807,23.85985141,85.0,15.1,3.6,4.2,https://maps.google.com/?q=46.183968,23.859851
